,Country Code,year,LE,GNIPPPconst
201,ROU,2000,71.16341463414635,10602.026771196292
202,RUS,2000,65.48365853658537,12113.999661246622
203,RWA,2000,47.798,1092.992450638793
204,SAS,2000,62.80363051653641,3706.036523188943
205,SAU,2000,72.607,88842.0696960899
206,SDN,2000,58.946,4517.702129307011
207,SEN,2000,57.615,3515.792382888117
208,SGP,2000,77.95121951219514,79260.16921215647
209,SLB,2000,67.116,2714.2645857530024
210,SLE,2000,44.834,2222.417982965546
211,SLV,2000,67.711,7887.762185443289
213,SOM,2000,50.747,837.9608788230746
214,SRB,2000,71.5829268292683,11695.019221835084
217,SSF,2000,51.64524455983045,4190.7934335245745
218,SST,2000,66.98810184204581,17112.47530912708
219,STP,2000,61.207,3060.3788617886203
220,SUR,2000,64.409,13188.775571041435
221,SVK,2000,73.05121951219513,20621.12423538523
222,SVN,2000,75.41219512195123,32516.52540650409
223,SWE,2000,79.6439024390244,54030.26014324433
224,SWZ,2000,47.627,8179.226838946967
226,SYC,2000,72.77804878048782,25375.641395663977
229,TCD,2000,47.937,1876.303706929928
230,TEA,2000,70.86508266111014,6035.060490920491
231,TEC,2000,68.36657974681148,11766.092314954853
232,TGO,2000,54.577,2368.1503097173845
233,THA,2000,71.205,13024.826703445617
234,TJK,2000,63.542,1803.4375435540085
235,TKM,2000,64.931,7395.915582655833
236,TLA,2000,70.71841023331669,15526.337808787672
237,TLS,2000,58.097,3789.0404955478157
238,TMN,2000,65.60724090479268,9793.184835736978
239,TON,2000,69.635,7068.017847464194
240,TSA,2000,62.80363051653641,3706.0365231889436
241,TSS,2000,51.64524455983045,4190.793433524572
242,TTO,2000,68.629,23462.90460704609
243,TUN,2000,72.604,10966.357588075889
244,TUR,2000,71.931,16741.00103561751
245,TUV,2000,63.536,7341.265960123893
246,TZA,2000,53.244,2094.9021970576864
247,UGA,2000,49.64,2022.0360336817669
248,UKR,2000,67.786,7213.750174216034
249,UMC,2000,70.77370357637855,9312.919502732571
250,URY,2000,74.693,19856.02951993807
251,USA,2000,76.63658536585366,66435.72445799463
252,UZB,2000,65.456,4736.300619434769
253,VCT,2000,70.35,11294.255323267527
257,VNM,2000,72.746,4699.86753774681
258,VUT,2000,68.586,3825.4735772357753
259,WLD,2000,67.6497257264509,14564.074535001533
260,WSM,2000,70.791,5264.580303910186
263,ZAF,2000,58.368,14445.716889276047
264,ZMB,2000,46.577,2969.296157568721
265,ZWE,2000,46.034,5337.446467286106
6118,ABW,2023,76.353,44000.627072553776
6119,AFE,2023,65.14615434799587,4534.539087705144
6120,AFG,2023,66.035,2275.184507027231
6122,AGO,2023,64.617,9286.047173477657
6123,ALB,2023,79.602,25418.237773077977
6125,ARB,2023,72.44467835785312,18949.077140536363
6126,ARE,2023,82.909,82503.74949916845
6127,ARG,2023,77.395,30442.17460307476
6128,ARM,2023,77.4658536585366,21598.810387977966
6130,ATG,2023,77.598,31162.821279508724
6131,AUS,2023,83.05121951219513,71117.53201151181
6132,AUT,2023,81.54146341463417,75739.96569320967
6133,AZE,2023,74.429,23328.36241141948
6134,BDI,2023,63.651,1183.9195398557988
6135,BEL,2023,82.39756097560976,75091.38368441911
6136,BEN,2023,60.774,4210.63558087845
6137,BFA,2023,61.092,2686.982607846639
6138,BGD,2023,74.672,9790.499846981433
6139,BGR,2023,75.70731707317073,37988.37480059042
6140,BHR,2023,81.284,62335.93751153793
6141,BHS,2023,74.552,38276.633471164
6142,BIH,2023,77.85,23904.879752566652
6143,BLR,2023,74.18378048780488,30709.843368607373
6144,BLZ,2023,73.566,13620.22218460193
6146,BOL,2023,68.581,12951.05027077039
6147,BRA,2023,75.848,21104.652666994676
6148,BRB,2023,76.178,23421.016984103848
6149,BRN,2023,75.327,88670.42605893909
6150,BTN,2023,72.975,15771.867261383339
6151,BWA,2023,69.163,21660.580103100878
6152,CAF,2023,57.408,1369.2286852245327
6153,CAN,2023,81.64658536585365,64950.855451741176
6154,CEB,2023,77.89662452564122,48123.908085330884
6155,CHE,2023,84.05609756097562,94950.34709643507
6157,CHL,2023,81.167,32655.589394979077
6158,CHN,2023,77.953,25727.086348692534
6159,CIV,2023,61.944,7165.286954257705
6160,CMR,2023,63.7,5456.32483585716
6161,COD,2023,61.895,1729.5520234415148
6162,COG,2023,65.772,6331.395800098403
6163,COL,2023,77.725,21310.55171740438
6164,COM,2023,66.777,3942.9668153458347
6165,CPV,2023,76.059,10408.196998210546
6166,CRI,2023,80.799,27693.42228010521
6167,CSS,2023,73.17164500130977,31237.721108689515
6171,CYP,2023,81.648,54769.147408981305
6172,CZE,2023,79.87804878048782,56581.0590525867
6173,DEU,2023,80.54146341463417,76388.54770200024
6175,DMA,2023,71.132,20867.868759023517
6176,DNK,2023,81.85365853658539,82472.864641607
6177,DOM,2023,73.72,25397.64786803701
6178,DZA,2023,76.261,17069.031278964474
6179,EAP,2023,75.88068308952658,22101.929028767463
6180,EAR,2023,71.7962449795855,13488.996546338203
6181,EAS,2023,76.65941772678073,26312.958341946345
6182,ECA,2023,74.79230609836472,27842.505302593454
6183,ECS,2023,78.38548160689324,51429.59091272096
6184,ECU,2023,77.392,16008.651169354498
6185,EGY,2023,71.633,18232.360913779303
6186,EMU,2023,82.19495248103796,65947.78217544728
6188,ESP,2023,83.8829268292683,57044.33191600854
6189,EST,2023,78.49024390243902,48509.8162765263
6190,ETH,2023,67.315,3139.9605187479883
6191,EUU,2023,81.41280637177022,63047.0932356972
